Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (â‚¹ Cr)
16-NOV-2023,23034.25,23136.1,22953.75,23004.25,100341701,6369.99
17-NOV-2023,22746.65,22857.8,22667.1,22704.35,158890164,6959.79
20-NOV-2023,22697.85,22747.5,22596.6,22681.25,92849200,4819.74
21-NOV-2023,22784,22796.9,22702.15,22771.05,70734036,4725.6
22-NOV-2023,22745.95,22762.2,22515.7,22618.75,90177574,5955.74
23-NOV-2023,22610.25,22736.8,22610.25,22704.2,52078984,3320.46
24-NOV-2023,22720.75,22813.45,22692,22791.8,74532015,4241.84
28-NOV-2023,22831.9,22883.7,22762.3,22840.45,97986686,6167.25
29-NOV-2023,22946.8,23212.3,22903.3,23179.8,103575979,6743.1
30-NOV-2023,23258.75,23285.7,23017.55,23136.8,254102852,19655.83
01-DEC-2023,23204.2,23370.15,23179.8,23279,97264475,6589.99
04-DEC-2023,23699.6,24128.05,23593.65,24102.4,163037928,11561.07
05-DEC-2023,24353.7,24495.35,24222.25,24387.05,199288210,12413.22
06-DEC-2023,24502.45,24522.05,24241,24305.7,142958714,8529.9
07-DEC-2023,24232.65,24319.95,24117.25,24272.2,151429763,5796.5
08-DEC-2023,24269.35,24541.95,24269.35,24517.85,155787246,8054.37
11-DEC-2023,24508.7,24707.9,24503.45,24555,118105406,6167.68
12-DEC-2023,24608.7,24627.05,24366.65,24418.95,114612164,7396.21
13-DEC-2023,24473.3,24482,24313.05,24401.85,122428819,7085.55
14-DEC-2023,24652.75,24867.85,24617.95,24758,121025839,8168.38
15-DEC-2023,24856.75,24973.85,24734.8,24944.65,217838912,17462.01
18-DEC-2023,24909.5,24909.9,24754.5,24785.35,106089287,5302.51
19-DEC-2023,24834.65,24854.45,24698.25,24764.55,118785725,5868.52
20-DEC-2023,24873.05,24907.45,24377.7,24508.15,129491280,8019.07
21-DEC-2023,24345.9,24696.95,24184.3,24649.9,135331389,8173.14
22-DEC-2023,24659.85,24779.5,24440.4,24485.3,126400708,9425.09
26-DEC-2023,24533.8,24662.5,24450.7,24583.05,92997215,5708.27
27-DEC-2023,24627.45,24858.95,24623.1,24820.45,93168118,6079.59
28-DEC-2023,24920.75,25009.9,24855.7,24933.4,175911272,10817.68
29-DEC-2023,24912.4,24988.5,24763.4,24875.65,113403341,6444.13
01-JAN-2024,24826.55,24956.85,24760.2,24855.35,82017904,3790.68
02-JAN-2024,24834.85,24846.3,24532.2,24565.4,119772777,7276.79
03-JAN-2024,24592.9,24617.8,24428.7,24576.55,132535429,7776.3
04-JAN-2024,24629.8,24902.45,24618.85,24863.6,116772454,8143.96
05-JAN-2024,24898.4,24950.65,24662.8,24841.55,118240479,8184.98
08-JAN-2024,24822.4,24846.35,24450.4,24484.45,148746481,7482.17
09-JAN-2024,24608.05,24744.6,24346,24394.9,108442786,6519.35
10-JAN-2024,24307,24506.75,24266.1,24476.35,92494430,5393.37
11-JAN-2024,24554.65,24646.3,24464.65,24577.65,91524363,4832.76
12-JAN-2024,24642.55,24757.5,24554.15,24653.85,89200065,5131.32
15-JAN-2024,24746.5,24927.9,24684.95,24884.5,98608814,6819.92
16-JAN-2024,24860.15,24969.6,24784.1,24850.7,142417027,6367.72
17-JAN-2024,24101.55,24375.9,23758.9,23798.35,345773678,25533.15
18-JAN-2024,23508.3,23877.15,23487.8,23603,198837789,17650.92
19-JAN-2024,23805.7,23841.85,23468,23537.75,184709518,15517.96
20-JAN-2024,23687.75,23778.5,23495.95,23692.05,95807007,5789.94
23-JAN-2024,23955,23989.45,23111.35,23167.6,282404697,20022.15
24-JAN-2024,22901.55,23361.3,22876.8,23111.6,238074519,15250.07
25-JAN-2024,23106.45,23204.1,22837.3,23051.1,235732040,15938.17
29-JAN-2024,23228.8,23510.75,23212.95,23403,175327278,10106.9
30-JAN-2024,23426.15,23532.8,23232.35,23324.95,117214887,7401.79
31-JAN-2024,23284.1,23751.25,23171.9,23594.45,177871127,12083.28
01-FEB-2024,23672.3,23675.95,23402.35,23623.75,117111575,6612.02
02-FEB-2024,23799.5,23956.45,23422.65,23453.5,134060616,8389.83
05-FEB-2024,23455.8,23504.9,23276.6,23419.8,142127201,7851.97
06-FEB-2024,23454.7,23472.8,23272.85,23305.7,111901454,7367.46
07-FEB-2024,23421.15,23464.1,23199.05,23288.7,137819030,8960.71
08-FEB-2024,23353.3,23420.55,22622.3,22684.45,140374300,10172.76
09-FEB-2024,22671.1,22970.05,22613.35,22913.8,128174862,8129.2
12-FEB-2024,22938.75,22981.1,22390.1,22532.7,159630658,7104.02
13-FEB-2024,22631.35,22994.35,22507.7,22866.85,137097238,9247.56
14-FEB-2024,22628.15,23121,22544.4,22983.2,159771194,12093.86
15-FEB-2024,23029.05,23103.1,22777.25,23054.3,114640437,6910.75
